Owner/Repo,PR Number,agent,html_url,Issue Type,Severity,Message,File Name,StartLine,EndLine,Rule,additions,deletions,changed_files,changed_loc
DannyMac180/meta-agent,73,OpenAI_Codex,https://github.com/DannyMac180/meta-agent/pull/73,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,PR_meta-agent_73:src/meta_agent/sandbox/sandbox_manager.py,91,91,python:S3776,12.0,3.0,1.0,15.0
sooperset/mcp-atlassian,540,OpenAI_Codex,https://github.com/sooperset/mcp-atlassian/pull/540,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""This is a test"" 3 times.",PR_mcp-atlassian_540:tests/unit/jira/test_issues.py,700,700,python:S1192,33.0,6.0,2.0,39.0
MontrealAI/AGI-Alpha-Agent-v0,310,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/310,CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, or complete the implementation.",PR_AGI-Alpha-Agent-v0_310:alpha_factory_v1/demos/muzero_planning/agent_muzero_entrypoint.py,21,21,python:S1186,23.0,2.0,1.0,25.0
MontrealAI/AGI-Alpha-Agent-v0,310,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/310,CODE_SMELL,MAJOR,"Rename function ""Tool"" to match the regular expression ^[a-z_][a-z0-9_]*$.",PR_AGI-Alpha-Agent-v0_310:alpha_factory_v1/demos/muzero_planning/agent_muzero_entrypoint.py,27,27,python:S1542,23.0,2.0,1.0,25.0
MontrealAI/AGI-Alpha-Agent-v0,942,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/942,CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, or complete the implementation.",PR_AGI-Alpha-Agent-v0_942:tests/test_agents.py,287,287,python:S1186,34.0,4.0,2.0,38.0
MontrealAI/AGI-Alpha-Agent-v0,942,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/942,CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, or complete the implementation.",PR_AGI-Alpha-Agent-v0_942:tests/test_agents.py,293,293,python:S1186,34.0,4.0,2.0,38.0
MontrealAI/AGI-Alpha-Agent-v0,942,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/942,CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, or complete the implementation.",PR_AGI-Alpha-Agent-v0_942:tests/test_agents.py,296,296,python:S1186,34.0,4.0,2.0,38.0
MontrealAI/AGI-Alpha-Agent-v0,942,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/942,CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, or complete the implementation.",PR_AGI-Alpha-Agent-v0_942:tests/test_agents.py,299,299,python:S1186,34.0,4.0,2.0,38.0
MontrealAI/AGI-Alpha-Agent-v0,671,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/671,CODE_SMELL,MAJOR,Merge these implicitly concatenated strings; or did you forget a comma?,PR_AGI-Alpha-Agent-v0_671:alpha_factory_v1/backend/integrations/neo4j_graph.py,58,58,python:S5799,8.0,12.0,3.0,20.0
MontrealAI/AGI-Alpha-Agent-v0,671,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/671,CODE_SMELL,MAJOR,Merge these implicitly concatenated strings; or did you forget a comma?,PR_AGI-Alpha-Agent-v0_671:alpha_factory_v1/backend/integrations/neo4j_graph.py,66,66,python:S5799,8.0,12.0,3.0,20.0
3rdIteration/btcrecover,613,OpenAI_Codex,https://github.com/3rdIteration/btcrecover/pull/613,CODE_SMELL,CRITICAL,Define a constant instead of duplicating this literal '{:02x}' 5 times.,PR_btcrecover_613:btcrecover/btcrseed.py,1040,1040,python:S1192,15.0,3.0,1.0,18.0
MontrealAI/AGI-Alpha-Agent-v0,1460,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1460,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""#controls"" 3 times.",PR_AGI-Alpha-Agent-v0_1460:alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/tests/test_pwa_offline.py,23,23,python:S1192,30.0,1.0,3.0,31.0
MontrealAI/AGI-Alpha-Agent-v0,3712,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3712,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,PR_AGI-Alpha-Agent-v0_3712:alpha_factory_v1/scripts/preflight.py,278,278,python:S3776,38.0,22.0,3.0,60.0
MontrealAI/AGI-Alpha-Agent-v0,2382,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2382,CODE_SMELL,MAJOR,Merge these implicitly concatenated strings; or did you forget a comma?,PR_AGI-Alpha-Agent-v0_2382:src/interface/api_server.py,359,359,python:S5799,3.0,1.0,1.0,4.0
DannyMac180/meta-agent,31,OpenAI_Codex,https://github.com/DannyMac180/meta-agent/pull/31,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,PR_meta-agent_31:src/meta_agent/orchestrator.py,130,130,python:S3776,228.0,30.0,4.0,258.0
DannyMac180/meta-agent,31,OpenAI_Codex,https://github.com/DannyMac180/meta-agent/pull/31,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,PR_meta-agent_31:src/meta_agent/orchestrator.py,324,324,python:S3776,228.0,30.0,4.0,258.0
featureform/enrichmcp,46,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/46,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,PR_enrichmcp_46:src/enrichmcp/sqlalchemy/mixin.py,29,29,python:S3776,503.0,404.0,6.0,907.0
MontrealAI/AGI-Alpha-Agent-v0,893,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/893,CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, or complete the implementation.",PR_AGI-Alpha-Agent-v0_893:tests/test_agents.py,174,174,python:S1186,78.0,0.0,2.0,78.0
MontrealAI/AGI-Alpha-Agent-v0,893,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/893,CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, or complete the implementation.",PR_AGI-Alpha-Agent-v0_893:tests/test_agents.py,180,180,python:S1186,78.0,0.0,2.0,78.0
MontrealAI/AGI-Alpha-Agent-v0,893,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/893,CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, or complete the implementation.",PR_AGI-Alpha-Agent-v0_893:tests/test_agents.py,183,183,python:S1186,78.0,0.0,2.0,78.0
MontrealAI/AGI-Alpha-Agent-v0,893,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/893,CODE_SMELL,CRITICAL,"Add a nested comment explaining why this method is empty, or complete the implementation.",PR_AGI-Alpha-Agent-v0_893:tests/test_agents.py,186,186,python:S1186,78.0,0.0,2.0,78.0
QuinnDamerell/OctoPrint-OctoEverywhere,115,OpenAI_Codex,https://github.com/QuinnDamerell/OctoPrint-OctoEverywhere/pull/115,CODE_SMELL,MINOR,"Rename this local variable ""productNamesLower"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_OctoPrint-OctoEverywhere_115:bambu_octoeverywhere/bambumodels.py,216,216,python:S117,17.0,13.0,5.0,30.0
QuinnDamerell/OctoPrint-OctoEverywhere,115,OpenAI_Codex,https://github.com/QuinnDamerell/OctoPrint-OctoEverywhere/pull/115,CODE_SMELL,MINOR,"Rename this local variable ""pName"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_OctoPrint-OctoEverywhere_115:bambu_octoeverywhere/bambumodels.py,222,222,python:S117,17.0,13.0,5.0,30.0
QuinnDamerell/OctoPrint-OctoEverywhere,115,OpenAI_Codex,https://github.com/QuinnDamerell/OctoPrint-OctoEverywhere/pull/115,CODE_SMELL,MINOR,"Rename this local variable ""pNameLower"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_OctoPrint-OctoEverywhere_115:bambu_octoeverywhere/bambumodels.py,270,270,python:S117,17.0,13.0,5.0,30.0
QuinnDamerell/OctoPrint-OctoEverywhere,115,OpenAI_Codex,https://github.com/QuinnDamerell/OctoPrint-OctoEverywhere/pull/115,CODE_SMELL,MINOR,"Rename method ""LogInfo"" to match the regular expression ^[a-z_][a-z0-9_]*$.",PR_OctoPrint-OctoEverywhere_115:octoeverywhere/sentry.py,149,149,python:S100,17.0,13.0,5.0,30.0
osori/korean-romanizer,25,OpenAI_Codex,https://github.com/osori/korean-romanizer/pull/25,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,PR_korean-romanizer_25:korean_romanizer/romanizer.py,115,115,python:S3776,22.0,10.0,2.0,32.0
MontrealAI/AGI-Alpha-Agent-v0,3853,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3853,CODE_SMELL,MAJOR,"Remove this yield statement or annotate function ""cleanup_ledger_dir"" with ""typing.Generator"" or one of its supertypes.",PR_AGI-Alpha-Agent-v0_3853:tests/conftest.py,135,135,python:S5886,11.0,0.0,1.0,11.0
stanford-crfm/levanter,1023,OpenAI_Codex,https://github.com/stanford-crfm/levanter/pull/1023,CODE_SMELL,MINOR,"Rename this local variable ""Batch"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_levanter_1023:src/levanter/layers/attention.py,1431,1431,python:S117,110.0,95.0,2.0,205.0
stanford-crfm/levanter,1023,OpenAI_Codex,https://github.com/stanford-crfm/levanter/pull/1023,CODE_SMELL,MINOR,"Remove the unused local variable ""Batch"".",PR_levanter_1023:src/levanter/layers/attention.py,1431,1431,python:S1481,110.0,95.0,2.0,205.0
stanford-crfm/levanter,1023,OpenAI_Codex,https://github.com/stanford-crfm/levanter/pull/1023,CODE_SMELL,MINOR,"Remove the unused local variable ""Pos"".",PR_levanter_1023:src/levanter/layers/attention.py,1432,1432,python:S1481,110.0,95.0,2.0,205.0
stanford-crfm/levanter,1023,OpenAI_Codex,https://github.com/stanford-crfm/levanter/pull/1023,CODE_SMELL,MINOR,"Rename this local variable ""Pos"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_levanter_1023:src/levanter/layers/attention.py,1432,1432,python:S117,110.0,95.0,2.0,205.0
MontrealAI/AGI-Alpha-Agent-v0,2262,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2262,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""alpha_factory_v1.demos.aiga_meta_evolution.agent_aiga_entrypoint"" 3 times.",PR_AGI-Alpha-Agent-v0_2262:tests/test_aiga_service.py,18,18,python:S1192,50.0,2.0,2.0,52.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,PR_enrichmcp_48:src/enrichmcp/sqlalchemy/mixin.py,27,27,python:S3776,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,BUG,MAJOR,Remove this if statement or edit its code blocks so that they're not all the same.,PR_enrichmcp_48:src/enrichmcp/sqlalchemy/mixin.py,66,66,python:S3923,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""User ID"" 3 times.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,43,43,python:S1192,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""Email address"" 3 times.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,45,45,python:S1192,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""UserEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,51,51,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""ProductEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,91,91,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""UserEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,128,128,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""DataTypesEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,156,156,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""OrderEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,183,183,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""ItemEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,198,198,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MAJOR,Remove this unused class declaration.,PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,224,224,python:S5603,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""users.id"" 6 times.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,228,228,python:S1192,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""UserEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,234,234,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""Customer who placed the order"" 3 times.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,259,259,python:S1192,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MAJOR,Remove this unused class declaration.,PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,262,262,python:S5603,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""OrderEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,268,268,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MAJOR,Remove this unused class declaration.,PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,298,298,python:S5603,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""UserEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,303,303,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MAJOR,Remove this unused class declaration.,PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,322,322,python:S5603,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""UserEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,328,328,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""NoDocEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,362,362,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""AsyncUserEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,380,380,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""CustomerEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,395,395,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""ProductEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,409,409,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""OrderEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,427,427,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""UserEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,513,513,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""ProductEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,514,514,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""OrderEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,515,515,python:S117,16.0,443.0,4.0,459.0
featureform/enrichmcp,48,OpenAI_Codex,https://github.com/featureform/enrichmcp/pull/48,CODE_SMELL,MINOR,"Rename this local variable ""ReviewEnrichModel"" to match the regular expression ^[_a-z][a-z0-9_]*$.",PR_enrichmcp_48:tests/test_sqlalchemy_integration.py,516,516,python:S117,16.0,443.0,4.0,459.0
MontrealAI/AGI-Alpha-Agent-v0,2083,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2083,CODE_SMELL,MAJOR,Merge these implicitly concatenated strings; or did you forget a comma?,PR_AGI-Alpha-Agent-v0_2083:alpha_factory_v1/demos/macro_sentinel/data_feeds.py,191,191,python:S5799,111.0,63.0,2.0,174.0
MontrealAI/AGI-Alpha-Agent-v0,1881,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1881,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""openai.OpenAI"" 4 times.",PR_AGI-Alpha-Agent-v0_1881:tests/test_governance_sim.py,23,23,python:S1192,36.0,0.0,2.0,36.0
MontrealAI/AGI-Alpha-Agent-v0,1881,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1881,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""offline summary"" 3 times.",PR_AGI-Alpha-Agent-v0_1881:tests/test_governance_sim.py,48,48,python:S1192,36.0,0.0,2.0,36.0
